Price;Area;Bedrooms;Parking;Features;Agency;Id;Type;Zone;URL;Timestamp
315.000 €;84 m2;3 Habitacions;Inclòs;Ascensor, Garatge, Calefacció, Electrodomèstics;Immobiliària Galí;19186;venda;ordino;/venda/pis-3-habitacions-2-banys-ordino-parking/19186;2023-11-09 16:55:42.516711
760.000 €;178 m2;4 Habitacions;No Inclòs;;Finques 3 Cases;27308;venda;ordino;/venda/casa-adossada-4-habitacions-2-banys-ordino/27308;2023-11-09 16:55:42.561922
769.000 €;192 m2;2 Habitacions;No Inclòs;;Finques 3 Cases;27268;venda;ordino;/venda/atic-2-habitacions-2-banys-ordino/27268;2023-11-09 16:55:43.120997
1.878.000 €;169 m2;2 Habitacions;No Inclòs;;Finques 3 Cases;27260;venda;ordino;/venda/pis-2-habitacions-2-banys-ordino/27260;2023-11-09 16:55:43.076935
1.908.000 €;148 m2;2 Habitacions;No Inclòs;;Finques 3 Cases;27259;venda;ordino;/venda/pis-2-habitacions-2-banys-ordino/27259;2023-11-09 16:55:42.626430
2.400.000 €;396 m2;3 Habitacions;No Inclòs;;Finques 3 Cases;27257;venda;ordino;/venda/duplex-3-habitacions-3-banys-ordino/27257;2023-11-09 16:55:43.616612
1.418.000 €;156 m2;2 Habitacions;No Inclòs;;Finques 3 Cases;27256;venda;ordino;/venda/pis-2-habitacions-2-banys-ordino/27256;2023-11-09 16:55:44.402810
1.634.000 €;176 m2;2 Habitacions;No Inclòs;;Finques 3 Cases;27255;venda;ordino;/venda/pis-2-habitacions-2-banys-ordino/27255;2023-11-09 16:55:42.350653
6.829.000 €;795 m2;5 Habitacions;No Inclòs;;Finques 3 Cases;27252;venda;ordino;/venda/xalet-5-habitacions-5-banys-ordino/27252;2023-11-09 16:55:43.433946
1.680.000 €;700 m2;0 Habitacions;No Inclòs;;Finques 3 Cases;27244;venda;ordino;/venda/terreny-ordino/27244;2023-11-09 16:55:44.667327
449.000 €;85 m2;2 Habitacions;No Inclòs;;Finques 3 Cases;27230;venda;ordino;/venda/pis-2-habitacions-2-banys-ordino/27230;2023-11-09 16:55:43.386501
1.250.000 €;1680 m2;0 Habitacions;No Inclòs;;Finques 3 Cases;27225;venda;ordino;/venda/terreny-ordino/27225;2023-11-09 16:55:44.975865
6.750.000 €;7717 m2;0 Habitacions;No Inclòs;;Finques 3 Cases;27222;venda;ordino;/venda/terreny-sornas/27222;2023-11-09 16:55:48.413280
3.740.000 €;17889 m2;0 Habitacions;No Inclòs;;Finques 3 Cases;27102;venda;ordino;/venda/terreny-el-serrat/27102;2023-11-09 16:55:47.996299
1.800.000 €;7558 m2;0 Habitacions;No Inclòs;;Finques 3 Cases;27101;venda;ordino;/venda/terreny-el-serrat/27101;2023-11-09 16:55:47.672610
